league_id,league_name,season,table_name,completed_match_count,covered_match_count,match_coverage_rate_pct,total_rows,rows_per_match_p0,rows_per_match_p1,rows_per_match_p5,rows_per_match_p25,rows_per_match_p50,rows_per_match_p75,rows_per_match_p95,rows_per_match_p99,rows_per_match_max
54,Bundesliga,2020/2021,fact_match_events,306,306,100.0,5779,10.0,12.0,14.0,17.0,19.0,21.0,24.0,26.0,28.0
54,Bundesliga,2020/2021,fact_match_lineup,306,306,100.0,12157,37.0,38.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2020/2021,fact_player_match_stats,306,306,100.0,9271,25.0,26.0,28.0,30.0,30.0,31.0,32.0,32.0,32.0
54,Bundesliga,2020/2021,fact_shotmap,306,306,100.0,7603,7.0,12.0,16.0,21.0,24.0,29.0,35.0,39.0,44.0
54,Bundesliga,2020/2021,fact_team_match_stats,306,306,100.0,636,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0
54,Bundesliga,2021/2022,fact_match_events,306,306,100.0,5904,9.0,11.0,14.0,17.0,19.0,21.0,24.0,26.0,28.0
54,Bundesliga,2021/2022,fact_match_lineup,306,306,100.0,12125,36.0,37.0,38.0,39.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2021/2022,fact_player_match_stats,306,306,100.0,9391,23.0,28.0,28.0,30.0,31.0,32.0,32.0,32.0,32.0
54,Bundesliga,2021/2022,fact_shotmap,306,306,100.0,7961,12.0,15.0,17.0,22.0,25.0,30.0,36.0,41.0,49.0
54,Bundesliga,2021/2022,fact_team_match_stats,306,306,100.0,756,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0
54,Bundesliga,2022/2023,fact_match_events,306,306,100.0,6274,12.0,13.0,16.0,19.0,20.0,23.0,25.0,28.0,32.0
54,Bundesliga,2022/2023,fact_match_lineup,306,306,100.0,12169,37.0,38.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2022/2023,fact_player_match_stats,306,306,100.0,9480,27.0,28.0,29.0,30.0,31.0,32.0,32.0,32.0,32.0
54,Bundesliga,2022/2023,fact_shotmap,306,306,100.0,7825,11.0,14.0,17.0,21.0,25.0,29.0,37.0,41.0,47.0
54,Bundesliga,2022/2023,fact_team_match_stats,306,306,100.0,964,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0
54,Bundesliga,2023/2024,fact_match_events,306,306,100.0,6418,11.0,15.0,16.0,19.0,21.0,23.0,26.0,28.0,31.0
54,Bundesliga,2023/2024,fact_match_lineup,306,306,100.0,12152,37.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2023/2024,fact_player_match_stats,306,306,100.0,9526,27.0,28.0,29.0,31.0,31.0,32.0,32.0,32.0,32.0
54,Bundesliga,2023/2024,fact_shotmap,306,306,100.0,8523,11.0,15.0,19.0,23.0,27.0,31.0,38.0,45.0,53.0
54,Bundesliga,2023/2024,fact_team_match_stats,306,306,100.0,1836,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
54,Bundesliga,2024/2025,fact_match_events,306,306,100.0,6291,12.0,13.0,15.0,19.0,20.0,23.0,26.0,29.0,31.0
54,Bundesliga,2024/2025,fact_match_lineup,306,306,100.0,12208,38.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2024/2025,fact_player_match_stats,306,306,100.0,9528,27.0,28.0,29.0,31.0,31.0,32.0,32.0,32.0,32.0
54,Bundesliga,2024/2025,fact_shotmap,306,306,100.0,7989,9.0,14.0,16.0,22.0,26.0,30.0,38.0,40.0,44.0
54,Bundesliga,2024/2025,fact_team_match_stats,306,306,100.0,1836,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
54,Bundesliga,2025/2026,fact_match_events,306,306,100.0,6342,12.0,14.0,16.0,19.0,20.0,23.0,26.0,28.0,29.0
54,Bundesliga,2025/2026,fact_match_lineup,306,306,100.0,12218,38.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0
54,Bundesliga,2025/2026,fact_player_match_stats,306,306,100.0,9555,28.0,28.0,29.0,31.0,32.0,32.0,32.0,32.0,32.0
54,Bundesliga,2025/2026,fact_shotmap,306,306,100.0,8130,13.0,14.0,18.0,23.0,26.0,30.0,36.0,42.0,47.0
54,Bundesliga,2025/2026,fact_team_match_stats,306,306,100.0,1836,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
55,SerieA,2020/2021,fact_match_events,380,380,100.0,7635,12.0,13.0,15.0,18.0,20.0,22.0,25.0,28.0,29.0
55,SerieA,2020/2021,fact_match_lineup,380,380,100.0,17066,38.0,41.0,42.0,44.0,45.0,46.0,46.0,46.0,47.0
55,SerieA,2020/2021,fact_player_match_stats,380,379,99.7368,11612,27.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,32.0
55,SerieA,2020/2021,fact_shotmap,380,380,100.0,9520,6.0,12.0,16.0,21.0,25.0,29.0,35.0,41.0,43.0
55,SerieA,2020/2021,fact_team_match_stats,380,380,100.0,792,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0
55,SerieA,2021/2022,fact_match_events,380,380,100.0,7820,12.0,13.0,16.0,18.0,20.0,23.0,26.0,29.0,31.0
55,SerieA,2021/2022,fact_match_lineup,380,380,100.0,16925,38.0,39.0,41.0,44.0,45.0,46.0,46.0,46.0,47.0
55,SerieA,2021/2022,fact_player_match_stats,380,380,100.0,11717,26.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,32.0
55,SerieA,2021/2022,fact_shotmap,380,380,100.0,9939,10.0,12.0,16.0,22.0,26.0,30.0,37.0,44.0,50.0
55,SerieA,2021/2022,fact_team_match_stats,380,380,100.0,768,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
55,SerieA,2022/2023,fact_match_events,381,381,100.0,7888,12.0,14.0,16.0,19.0,21.0,23.0,26.0,28.0,33.0
55,SerieA,2022/2023,fact_match_lineup,381,381,100.0,17875,40.0,42.0,43.0,45.0,47.0,49.0,51.0,51.0,52.0
55,SerieA,2022/2023,fact_player_match_stats,381,381,100.0,11916,28.0,28.0,29.0,31.0,32.0,32.0,32.0,32.0,32.0
55,SerieA,2022/2023,fact_shotmap,381,381,100.0,9708,9.0,14.0,17.0,22.0,25.0,29.0,35.0,41.0,47.0
55,SerieA,2022/2023,fact_team_match_stats,381,381,100.0,1350,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0
55,SerieA,2023/2024,fact_match_events,380,380,100.0,7893,12.0,14.0,16.0,19.0,21.0,23.0,26.0,28.0,29.0
55,SerieA,2023/2024,fact_match_lineup,380,380,100.0,17692,38.0,41.0,43.0,45.0,46.0,48.0,50.0,51.0,52.0
55,SerieA,2023/2024,fact_player_match_stats,380,380,100.0,11910,28.0,28.0,29.0,31.0,32.0,32.0,32.0,32.0,34.0
55,SerieA,2023/2024,fact_shotmap,380,380,100.0,9724,12.0,13.0,17.0,22.0,25.0,29.0,35.0,38.0,41.0
55,SerieA,2023/2024,fact_team_match_stats,380,380,100.0,2280,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
55,SerieA,2024/2025,fact_match_events,380,380,100.0,7680,12.0,12.0,15.0,18.0,20.0,22.0,26.0,27.0,29.0
55,SerieA,2024/2025,fact_match_lineup,380,380,100.0,17689,38.0,40.0,43.0,45.0,47.0,48.0,51.0,52.0,52.0
55,SerieA,2024/2025,fact_player_match_stats,380,380,100.0,11887,26.0,28.0,29.0,31.0,32.0,32.0,32.0,32.0,32.0
55,SerieA,2024/2025,fact_shotmap,380,380,100.0,9250,11.0,13.0,15.0,21.0,24.0,28.0,36.0,39.0,42.0
55,SerieA,2024/2025,fact_team_match_stats,380,380,100.0,2280,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
55,SerieA,2025/2026,fact_match_events,380,380,100.0,7612,13.0,14.0,16.0,18.0,20.0,22.0,24.0,28.0,31.0
55,SerieA,2025/2026,fact_match_lineup,380,380,100.0,17772,40.0,41.0,43.0,45.0,47.0,48.0,51.0,52.0,52.0
55,SerieA,2025/2026,fact_player_match_stats,380,380,100.0,11928,28.0,29.0,30.0,31.0,32.0,32.0,32.0,32.0,32.0
55,SerieA,2025/2026,fact_shotmap,380,380,100.0,9381,10.0,14.0,16.0,21.0,24.0,28.0,34.0,41.0,43.0
55,SerieA,2025/2026,fact_team_match_stats,380,380,100.0,2280,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
87,LaLiga,2020/2021,fact_match_events,380,380,100.0,7433,8.0,12.0,14.0,17.0,19.0,22.0,25.0,29.0,30.0
87,LaLiga,2020/2021,fact_match_lineup,380,380,100.0,16569,38.0,38.0,40.0,43.0,44.0,45.0,46.0,46.0,46.0
87,LaLiga,2020/2021,fact_player_match_stats,380,380,100.0,11607,25.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,32.0
87,LaLiga,2020/2021,fact_shotmap,380,380,100.0,8132,7.0,10.0,14.0,18.0,21.0,25.0,31.0,35.0,40.0
87,LaLiga,2020/2021,fact_team_match_stats,380,380,100.0,792,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0
87,LaLiga,2021/2022,fact_match_events,380,380,100.0,8013,11.0,12.0,15.0,19.0,21.0,23.0,27.0,30.0,33.0
87,LaLiga,2021/2022,fact_match_lineup,380,380,100.0,16762,38.0,39.0,41.0,43.0,44.0,46.0,46.0,46.0,46.0
87,LaLiga,2021/2022,fact_player_match_stats,380,380,100.0,11806,26.0,28.0,29.0,31.0,31.0,32.0,32.0,32.0,32.0
87,LaLiga,2021/2022,fact_shotmap,380,380,100.0,8982,9.0,13.0,15.0,20.0,23.0,27.0,33.0,37.0,43.0
87,LaLiga,2021/2022,fact_team_match_stats,380,380,100.0,768,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
87,LaLiga,2022/2023,fact_match_events,380,380,100.0,8083,13.0,14.0,16.0,19.0,21.0,23.0,27.0,30.0,31.0
87,LaLiga,2022/2023,fact_match_lineup,380,380,100.0,16723,39.0,39.0,41.0,43.0,44.0,45.0,46.0,46.0,46.0
87,LaLiga,2022/2023,fact_player_match_stats,380,379,99.7368,11801,28.0,28.0,29.0,31.0,31.0,32.0,32.0,32.0,33.0
87,LaLiga,2022/2023,fact_shotmap,380,380,100.0,9392,10.0,13.0,16.0,21.0,25.0,28.0,33.0,44.0,47.0
87,LaLiga,2022/2023,fact_team_match_stats,380,380,100.0,1320,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0
87,LaLiga,2023/2024,fact_match_events,380,380,100.0,8073,13.0,14.0,16.0,19.0,21.0,23.0,27.0,30.0,33.0
87,LaLiga,2023/2024,fact_match_lineup,380,380,100.0,16685,38.0,39.0,40.0,43.0,44.0,45.0,46.0,46.0,46.0
87,LaLiga,2023/2024,fact_player_match_stats,380,379,99.7368,11854,28.0,28.0,29.0,31.0,32.0,32.0,32.0,32.0,32.0
87,LaLiga,2023/2024,fact_shotmap,380,380,100.0,9335,11.0,12.0,15.0,20.0,25.0,28.0,35.0,41.0,46.0
87,LaLiga,2023/2024,fact_team_match_stats,380,380,100.0,2276,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
87,LaLiga,2024/2025,fact_match_events,380,380,100.0,7980,14.0,15.0,16.0,19.0,21.0,23.0,27.0,29.0,33.0
87,LaLiga,2024/2025,fact_match_lineup,380,380,100.0,16934,39.0,40.0,42.0,44.0,45.0,46.0,46.0,46.0,46.0
87,LaLiga,2024/2025,fact_player_match_stats,380,380,100.0,11900,28.0,28.0,29.0,31.0,32.0,32.0,32.0,34.0,34.0
87,LaLiga,2024/2025,fact_shotmap,380,380,100.0,9065,8.0,11.0,15.0,20.0,24.0,27.0,33.0,43.0,47.0
87,LaLiga,2024/2025,fact_team_match_stats,380,380,100.0,2280,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
87,LaLiga,2025/2026,fact_match_events,380,380,100.0,8024,13.0,15.0,16.0,19.0,21.0,23.0,27.0,30.0,33.0
87,LaLiga,2025/2026,fact_match_lineup,380,380,100.0,16941,39.0,39.0,41.0,44.0,45.0,46.0,46.0,46.0,46.0
87,LaLiga,2025/2026,fact_player_match_stats,380,380,100.0,11953,26.0,28.0,30.0,31.0,32.0,32.0,32.0,34.0,34.0
87,LaLiga,2025/2026,fact_shotmap,380,380,100.0,9510,11.0,12.0,16.0,20.0,25.0,29.0,35.0,40.0,43.0
87,LaLiga,2025/2026,fact_team_match_stats,380,380,100.0,2280,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
