table_name,field_name,family,applicability,league_id,league_name,season,applicable_records,non_null_records,non_null_rate_pct,blank_string_records,zero_records,covered_matches,total_matches_in_partition,match_coverage_rate_pct,vs_benchmark_epl_same_season_delta_pct,vs_prev_season_same_league_delta_pct,first_season_seen,last_season_seen,all_null_flag,all_zero_flag,status
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2020/2021,7212,2683,37.2019,0,0,380,380,100.0,-2.0617,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2021/2022,7340,2742,37.3569,0,0,380,380,100.0,-3.7012,0.155,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2022/2023,7168,2549,35.5608,0,0,379,380,99.7368,-1.2362,-1.7961,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2023/2024,6050,2182,36.0661,0,0,304,306,99.3464,-4.2495,0.5053,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2024/2025,6161,2271,36.8609,0,0,305,306,99.6732,-1.0456,0.7948,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,53,Ligue1,2025/2026,6078,2202,36.229,0,0,305,305,100.0,-0.1222,-0.6319,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2020/2021,5779,2135,36.9441,0,0,305,306,99.6732,-2.3195,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2021/2022,5904,2121,35.9248,0,0,306,306,100.0,-5.1333,-1.0193,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2022/2023,6274,2363,37.6634,0,0,306,306,100.0,0.8664,1.7386,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2023/2024,6418,2413,37.5974,0,0,306,306,100.0,-2.7182,-0.066,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2024/2025,6291,2295,36.4807,0,0,306,306,100.0,-1.4258,-1.1167,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,54,Bundesliga,2025/2026,6342,2313,36.4711,0,0,306,306,100.0,0.1199,-0.0096,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2020/2021,7635,2949,38.6248,0,0,380,380,100.0,-0.6388,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2021/2022,7820,3054,39.0537,0,0,380,380,100.0,-2.0044,0.4289,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2022/2023,7888,2901,36.7774,0,0,381,381,100.0,-0.0196,-2.2763,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2023/2024,7893,2870,36.3613,0,0,379,380,99.7368,-3.9543,-0.4161,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2024/2025,7680,2671,34.7786,0,0,380,380,100.0,-3.1279,-1.5827,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,55,SerieA,2025/2026,7612,2536,33.3158,0,0,379,380,99.7368,-3.0354,-1.4628,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2020/2021,7433,2796,37.616,0,0,379,380,99.7368,-1.6476,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2021/2022,8013,3117,38.8993,0,0,379,380,99.7368,-2.1588,1.2833,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2022/2023,8083,3136,38.7975,0,0,379,380,99.7368,2.0005,-0.1018,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2023/2024,8073,3064,37.9537,0,0,380,380,100.0,-2.3619,-0.8438,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2024/2025,7980,2956,37.0426,0,0,380,380,100.0,-0.8639,-0.9111,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,87,LaLiga,2025/2026,8024,2947,36.7273,0,0,380,380,100.0,0.3761,-0.3153,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2020/2021,5812,5812,100.0,0,0,380,380,100.0,,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2021/2022,6162,6162,100.0,0,0,380,380,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2022/2023,7112,7112,100.0,0,0,380,380,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2023/2024,7605,7605,100.0,0,0,380,380,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2024/2025,7595,7595,100.0,0,0,380,380,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,47,EPL,2025/2026,7290,7290,100.0,0,0,380,380,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2020/2021,7212,7212,100.0,0,0,380,380,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2021/2022,7340,7340,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2022/2023,7168,7168,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2023/2024,6050,6050,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2024/2025,6161,6161,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,53,Ligue1,2025/2026,6078,6078,100.0,0,0,305,305,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2020/2021,5779,5779,100.0,0,0,306,306,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2021/2022,5904,5904,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2022/2023,6274,6274,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2023/2024,6418,6418,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2024/2025,6291,6291,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,54,Bundesliga,2025/2026,6342,6342,100.0,0,0,306,306,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2020/2021,7635,7635,100.0,0,0,380,380,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2021/2022,7820,7820,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2022/2023,7888,7888,100.0,0,0,381,381,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2023/2024,7893,7893,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2024/2025,7680,7680,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,55,SerieA,2025/2026,7612,7612,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,87,LaLiga,2020/2021,7433,7433,100.0,0,0,380,380,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,87,LaLiga,2021/2022,8013,8013,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,87,LaLiga,2022/2023,8083,8083,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,87,LaLiga,2023/2024,8073,8073,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_type,standard_match,REQUIRED,87,LaLiga,2024/2025,7980,7980,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
