table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
dim_player,87,LaLiga,2022/2023,CONTENT_MISMATCH,637,637,0,0,637,4,4,ACCENT_NORMALIZATION_ONLY:2;TRULY_DIFFERENT_NAME:2,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=76;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2, 'TRULY_DIFFERENT_NAME': 2}",1031325:ACCENT_NORMALIZATION_ONLY;1047671:TRULY_DIFFERENT_NAME;531629:TRULY_DIFFERENT_NAME;823658:ACCENT_NORMALIZATION_ONLY
dim_player,87,LaLiga,2023/2024,CONTENT_MISMATCH,642,642,0,0,642,2,2,ACCENT_NORMALIZATION_ONLY:1;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=82;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 1, 'TRULY_DIFFERENT_NAME': 1}",1031325:ACCENT_NORMALIZATION_ONLY;531629:TRULY_DIFFERENT_NAME
dim_player,87,LaLiga,2024/2025,CONTENT_MISMATCH,635,635,0,0,635,4,4,ACCENT_NORMALIZATION_ONLY:3;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=102;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 3, 'TRULY_DIFFERENT_NAME': 1}",1031325:ACCENT_NORMALIZATION_ONLY;1239595:ACCENT_NORMALIZATION_ONLY;531629:TRULY_DIFFERENT_NAME;798029:ACCENT_NORMALIZATION_ONLY
dim_player,87,LaLiga,2025/2026,CONTENT_MISMATCH,628,628,0,0,628,2,2,ACCENT_NORMALIZATION_ONLY:1;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=121;name_blank_in_allwin=0;name_diff_breakdown={'TRULY_DIFFERENT_NAME': 1, 'ACCENT_NORMALIZATION_ONLY': 1}",531629:TRULY_DIFFERENT_NAME;798029:ACCENT_NORMALIZATION_ONLY
fact_match_events,53,Ligue1,2020/2021,EXACT,7212,7212,0,0,380,0,0,,,
fact_match_events,53,Ligue1,2021/2022,EXACT,7340,7340,0,0,380,0,0,,,
fact_match_events,53,Ligue1,2022/2023,EXACT,7168,7168,0,0,380,0,0,,,
fact_match_events,53,Ligue1,2023/2024,EXACT,6050,6050,0,0,306,0,0,,,
fact_match_events,53,Ligue1,2024/2025,EXACT,6161,6161,0,0,306,0,0,,,
fact_match_events,53,Ligue1,2025/2026,EXACT,6078,6078,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2020/2021,EXACT,5779,5779,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2021/2022,EXACT,5904,5904,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2022/2023,EXACT,6274,6274,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2023/2024,EXACT,6418,6418,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2024/2025,EXACT,6291,6291,0,0,306,0,0,,,
fact_match_events,54,Bundesliga,2025/2026,EXACT,6342,6342,0,0,306,0,0,,,
fact_match_events,55,SerieA,2020/2021,EXACT,7635,7635,0,0,380,0,0,,,
fact_match_events,55,SerieA,2021/2022,EXACT,7820,7820,0,0,380,0,0,,,
fact_match_events,55,SerieA,2022/2023,EXACT,7888,7888,0,0,381,0,0,,,
